Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
2,2,5,2,2,-0.5807929418597217,0.8566074799826319,2
2,1,3,3,1,-1.0573531264787657,-0.9912939855892329,4
4,4,1,3,2,2.40881456742332,-0.9924634404385515,5
3,3,1,3,3,2.01093034964391,-2.0557546639680213,4
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,3
3,3,3,2,2,0.6467110613927503,0.053450510379461,4
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,2
3,2,4,4,2,1.0350470118415853,-0.006556176562768188,3
2,2,2,5,4,2.582380506784039,-2.825139859331751,4
5,3,4,3,2,1.9749985685511038,1.3936541127194568,5
2,1,2,1,2,-1.396796977198555,-1.5928082256967662,2
3,2,5,2,1,-0.7639071485510156,1.5659859884041323,2
2,1,4,1,1,-2.226416762671617,0.2736399674358742,2
5,5,5,5,2,4.10632979241205,2.3953855711011354,5
3,4,4,3,2,1.6624443580048955,0.9440262348680123,5
4,1,4,2,2,-0.1683741006768576,0.5268153672386529,2
3,4,3,3,3,2.392199512841301,-0.14300196766920475,3
4,2,3,4,2,1.5816879599866973,-0.38420587067848494,3
3,1,3,1,1,-1.6797758145265047,-0.10400972667984261,1
3,3,4,3,1,0.451555409334442,0.8977217317018363,3
2,1,3,1,1,-2.126552132034961,-0.5057800231595494,1
3,3,2,3,3,1.9110657190072537,-1.2763346733725975,4
2,2,2,4,2,0.7879999556064415,-1.9671664542333223,4
2,2,4,2,2,-0.48092831122306573,0.07718748938720835,2
2,1,1,5,2,0.8414656645504914,-3.343256141151557,2
4,1,5,2,2,-0.2682387313135137,1.3062353578340764,2
4,2,3,4,1,0.9517974357869474,-0.07659765873669162,3
3,2,2,3,2,0.7001767703368,-1.3226391765387737,3
3,1,3,3,2,0.019313715229440104,-0.8971319010513196,4
3,2,4,3,3,1.1303380332632378,-0.0714074072897198,3
5,3,5,4,2,2.4097334406925452,1.9303171221000386,5
4,3,3,3,2,1.6280868816793037,0.21246382564432614,5
2,2,3,2,4,0.8787173678130901,-1.317448925091802,2
1,1,5,2,2,-1.6085676838388816,0.10092446839495578,2
4,2,3,2,2,0.5124889544305022,0.10130809175119854,2
3,1,1,1,1,-1.4800465532531926,-1.6628497078706894,2
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,3
4,3,3,2,2,1.0934873789012063,0.455220806859168,4
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,3
