Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,PCA3,PCA4,Job_Satisfaction_V44
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,-0.24264501654300022,0.9045422793031372,5
4,1,5,2,2,0.10690557244667147,0.9626469883085843,1.002752471366562,-1.4557658132800666,3
5,4,5,2,1,1.3427616891642744,3.024705163923166,-1.1441788364227612,0.5811459470583905,4
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,-0.19233991804873266,-1.269351860609498,2
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,0.7181629085815951,-0.07532387404077341,2
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,1.3157091032892425,-0.1685308503760577,2
1,1,3,1,1,-2.3685483738621107,-0.8766482230751548,0.2399747350029138,0.6623257183472364,2
3,4,5,1,2,0.6270879889752163,2.327523701808208,0.03667380976035324,1.9679130875368824,1
3,3,3,2,2,0.9204687096572848,0.10246908907114305,-0.4636119655674644,1.100980486692117,2
2,2,4,2,4,1.4355215488431177,-0.6393912751045439,2.1562367793189265,0.770231881438689,3
3,2,4,2,2,0.31856460537807235,0.35637198193455305,0.49719595955713075,0.12111433334820648,3
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,0.3549011781646472,0.811335302967853,3
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,0.9524473728722945,0.7181283266325686,2
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,0.019007785978449397,0.8587639257362163,2
5,2,3,1,1,-0.2744974042121247,0.9955037277472377,-1.9442926486746894,-0.8390710777815859,2
2,2,5,3,3,1.3018716863160809,0.06961234963248973,2.483433154473787,0.48428575119363676,2
2,2,3,3,2,0.6859375189505971,-1.0418248578899079,0.6864460618351764,0.6446479264611452,4
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,0.3549011781646472,0.811335302967853,3
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,-0.10035023515051662,0.21432130968349078,3
4,2,4,2,2,0.7088096767258839,0.7087440954451745,0.041944546241966876,-0.4758996599361557,2
4,2,1,2,2,0.9153099367873009,-1.440955073484779,-1.750694037880975,-0.19627873093030285,3
1,1,2,2,1,-1.6109303889417745,-1.9224729493889947,-0.02602657603420442,0.588845318175813,3
4,2,5,2,1,-0.11362475070101699,1.74700605685273,0.03759603772629829,-0.5951584136745001,2
4,2,3,1,1,-0.6647424755599362,0.6431316142366166,-1.4890412353595255,-0.24205708449722385,2
