Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
3,2,4,2,2,0.31856460537807235,0.35637198193455305,3
2,2,3,2,1,-0.7564480533556952,-0.390870949455148,3
1,1,2,1,1,-2.2997149538416384,-1.5932146127184725,1
4,1,4,3,2,0.8645235573670076,-0.08317773800525527,3
4,3,4,3,3,2.6842659332909165,0.5204536837903223,2
3,2,3,2,1,-0.3662029820078838,-0.03849883594452679,2
2,1,4,2,1,-1.3583521576349078,-0.13696805659173805,2
4,3,3,2,1,0.5571127735986678,0.7765367743460022,3
5,2,3,2,1,0.4142871606877392,0.6662453910767158,3
3,1,5,1,1,-1.7257250712074326,1.2612287832327231,2
1,2,4,3,3,0.9804600349887419,-0.9993261535214493,2
3,2,4,1,1,-1.12382096692822,1.007325890369313,2
4,2,3,4,2,2.155212226546084,-0.6663389675391872,3
2,1,5,2,1,-1.42718557765538,0.5795983330515797,2
1,1,3,1,1,-2.3685483738621107,-0.8766482230751548,2
5,1,4,4,1,1.1899521862082545,0.2616316105990818,1
5,1,3,2,1,-0.11878352357100089,0.20358189429680815,2
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,1
5,3,3,2,2,1.7009588523529076,0.8072133160923858,5
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,3
3,1,4,2,2,-0.2145060788806677,-0.1062915148453546,3
2,2,3,1,1,-1.4452326182555593,-0.061612612784626035,2
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,1
4,2,4,3,3,2.151195249032176,0.057790187010414586,3
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,3
3,4,5,2,2,1.31587255387508,1.9982653651376858,4
3,2,4,2,2,0.31856460537807235,0.35637198193455305,2
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,1
2,2,3,1,1,-1.4452326182555593,-0.061612612784626035,1
4,3,2,2,2,1.3795472010255685,-0.2617251870615535,2
5,4,3,3,2,2.9228141015115114,0.9406184762017712,5
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,2
3,1,2,2,2,-0.07683923883972305,-1.5394242941319902,2
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,1
3,1,4,3,2,0.47427848601919614,-0.4355498515158766,2
4,2,3,2,1,0.024042089339927717,0.3138732775660945,2
3,2,3,2,1,-0.3662029820078838,-0.03849883594452679,2
5,3,4,3,3,3.074511004638728,0.8728257973009435,4
4,3,3,5,4,4.8842694905175446,-1.1763249509582774,4
3,3,4,1,3,0.9164517321433772,0.8265982436207449,3
4,2,3,1,1,-0.6647424755599362,0.6431316142366166,2
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,2
3,3,3,2,2,0.9204687096572848,0.10246908907114305,4
2,3,2,3,3,2.041442630636238,-1.6174233225175558,4
3,2,3,3,3,1.8297835977048371,-1.0111483161435244,3
4,3,5,1,1,-0.2693386313421407,2.5389278903031594,3
3,1,4,1,1,-1.6568916511869602,0.5446623935894053,1
2,1,5,2,2,-0.6735845702489514,0.25790276128734174,1
3,2,4,1,1,-1.12382096692822,1.007325890369313,2
5,1,4,1,1,-0.876401508491337,1.249406620610648,1
4,2,4,2,2,0.7088096767258839,0.7087440954451745,4
4,2,3,1,1,-0.6647424755599362,0.6431316142366166,1
2,2,5,1,1,-1.582899458296504,1.3715201665020096,2
4,1,5,2,2,0.10690557244667147,0.9626469883085843,2
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,4
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,2
3,2,4,2,1,-0.43503640202835614,0.678067553698791,3
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,1
4,2,3,2,1,0.024042089339927717,0.3138732775660945,3
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,3
4,1,3,3,3,1.6869579847939085,-1.1214396994128109,2
4,1,4,2,1,-0.5778620149392847,0.5677761704295046,1
2,2,3,2,1,-0.7564480533556952,-0.390870949455148,3
2,2,3,3,2,0.6859375189505971,-1.0418248578899079,3
4,2,3,3,3,2.2200286690526485,-0.6587762026329032,2
4,5,4,4,4,5.192792874114689,0.7948267689153781,1
3,2,3,1,1,-1.0549875469077477,0.29075950072599516,2
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,3
3,2,3,1,1,-1.0549875469077477,0.29075950072599516,2
4,2,5,4,1,1.2639443790987106,1.088489383511686,3
5,2,5,1,1,-0.41216424425306925,2.428636507033873,2
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,3
3,2,5,1,1,-1.1926543869486923,1.7238922800126308,1
5,2,4,1,1,-0.34333082423259703,1.7120701173905557,2
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,3
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,2
2,2,3,3,2,0.6859375189505971,-1.0418248578899079,3
4,2,4,3,3,2.151195249032176,0.057790187010414586,4
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,3
4,2,5,2,1,-0.11362475070101699,1.74700605685273,4
2,1,5,2,5,1.5872184519703338,-0.7071839540053717,2
2,1,5,2,1,-1.42718557765538,0.5795983330515797,2
5,2,2,4,3,3.367891725320796,-1.3522288154361217,5
4,4,3,2,1,1.0901834578574077,1.2392002711259098,3
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,2
4,3,4,2,2,1.2418803609846238,1.171407592225082,2
3,3,4,2,2,0.8516352896368125,0.8190354787144608,2
2,1,2,1,1,-1.909469882493827,-1.2408424992078513,2
3,2,5,1,1,-1.1926543869486923,1.7238922800126308,3
4,1,4,1,1,-1.2666465798391486,0.8970345071000265,2
4,2,4,2,2,0.7088096767258839,0.7087440954451745,3
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,3
2,1,3,2,1,-1.2895187376144355,-0.8535344462350559,2
3,1,4,1,1,-1.6568916511869602,0.5446623935894053,1
3,2,4,2,1,-0.43503640202835614,0.678067553698791,3
4,4,4,2,2,1.774951045243364,1.6340710890049894,5
5,3,5,2,2,1.563292012311963,2.240346095379021,4
3,1,2,2,2,-0.07683923883972305,-1.5394242941319902,1
2,1,4,2,1,-1.3583521576349078,-0.13696805659173805,2
5,1,5,2,1,-0.25645036361194556,1.6367146735834435,2
4,2,2,4,2,2.224045646566556,-1.3829053571825052,4
4,2,4,2,1,-0.044791330680544666,1.0304396672094123,3
4,2,4,2,1,-0.044791330680544666,1.0304396672094123,2
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,2
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,1
1,1,1,2,2,-0.7884959615148736,-2.96073491079655,3
4,2,3,3,1,0.7128266542397916,-0.015385059104427437,6
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,1
2,1,2,4,2,0.9104848196121932,-2.5503130809836554,5
3,2,5,3,2,0.9385157502574639,0.7436800349073489,3
3,1,2,1,1,-1.5192248111460156,-0.8884703856972301,2
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,3
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,1
4,2,2,2,2,0.8464765167668286,-0.724388683841461,1
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,2
3,1,2,2,2,-0.07683923883972305,-1.5394242941319902,1
4,2,2,2,2,0.8464765167668286,-0.724388683841461,3
5,4,5,2,2,2.096362696570703,2.7030095921589283,3
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,1
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,2
3,1,4,1,1,-1.6568916511869602,0.5446623935894053,2
3,2,3,2,1,-0.3662029820078838,-0.03849883594452679,3
3,1,4,2,2,-0.2145060788806677,-0.1062915148453546,2
4,2,5,1,1,-0.8024093156008808,2.076264393523252,2
